Author,h-index
"Xue, Feng",1
"Fan, Xiaofang",1
"Gong, Yongsheng",1
"Ma, Luyu",1
"Ye, Yumeng",1
"Lu, Hao",1
"Xing, Yuan",1
"Zhao, Zhen",1
"Quan, Cheng",1
"Jia, Zhaoqian",1
"Lu, Yiming",1
"Li, Yang",1
"Zhou, Gangqiao",1
"Zhang, Hui",1
"Jiang, Lai",1
"Hsieh, Po-Chun",1
"Wu, Yao-Kuang",1
"Yang, Mei-Chen",1
"Su, Wen-Lin",1
"Kuo, Chan-Yen",1
"Chin-Lan, Chou",1
"Zhang, Jiazhi",1
"Pan, Ziqian",0
"Zhou, Jianhao",0
"Zhang, Ling",0
"Tang, Jiahui",2
"Gong, Shuaishuai",2
"Yu, Boyang",2
"Zhang, Yuanyuan",3
"Kou, Junping",3
"Stevens, Reece P.",0
"Alexeyev, Mikhail F.",2
"Kozhukhar, Natalia",1
"Pastukh, Viktoria",0
"Paudel, Sunita S.",0
"Bell, Jessica",0
"Tambe, Dhananjay T.",0
"Stevens, Troy",3
"Lee, Ji Young",3
"Jonigk, Danny",2
"Werlein, Christopher",1
"Lee, Peter D.",1
"Kauczor, Hans-Ulrich",1
"Laenger, Florian",1
"Ackermann, Maximilian",2
"Cui, Pei",0
"Tang, Zhiping",0
"Zhan, Qiu",0
"Deng, Chunjiang",0
"Lai, Yanhua",0
"Zhu, Fujun",0
"Xin, Haiming",0
"Li, Rongsheng",0
"Chen, Anning",0
"Tong, Yalin",0
"Wang, Wei",2
"Xu, Rongli",1
"Zhao, Haomiao",1
"Xiong, Yuqing",1
"He, Ping",1
"Li, Chichi",4
"Wang, Min",1
"Wang, Wangjia",1
"Li, Yuping",2
"Zhang, Dan",5
"Jones, Nicole M.",1
"Sysol, Justin R.",1
"Singla, Sunit",1
"Smith, Patricia",1
"Sandusky, George E.",1
"Wang, Huashan",4
"Natarajan, Viswanathan",7
"Dudek, Steven M.",13
"Machado, Roberto F.",3
"Fu, Zhiling",1
"Wu, Xiuying",1
"Zheng, Fushuang",1
"Qian, Yisong",1
"Wang, Ziwei",1
"Lin, Hongru",1
"Lei, Tianhua",1
"Zhou, Zhou",1
"Huang, Weilu",1
"Wu, Xuehan",1
"Zuo, Li",1
"Wang, Ling-Fang",1
"Guan, Xiao-Hui",1
"Deng, Ke-Yu",1
"Fu, Mingui",1
"Xin, Hong-Bo",1
"Deng, Wang",4
"Peng, Junnan",1
"Tang, Xumao",4
"Yu, Qian",3
"Bandela, Mounica",3
"Belvitch, Patrick",6
"Evans, Colin E.",4
"Peng, Yi",1
"Zhu, Maggie M.",1
"Dai, Zhiyu",2
"Zhang, Xianming",2
"Zhao, You-Yang",6
"Hao, Ying",1
"Wang, Zhuang",1
"Frimpong, Francis",1
"Chen, Xingjuan",1
"Wu, Yi-Hong",1
"Wei, Chen-Ying",1
"Hong, Wei-Chin",1
"Pang, Jong-Hwei Su",1
"Ren, Rui",1
"Xu, Zehui",1
"Wang, Xin",1
"Jiang, Wanglin",2
"Yu, Pengfei",1
"Li, Zhan-Fei",1
"Wang, Yu-Chang",1
"Feng, Quan-Rui",1
"Zhuang, Yang-Fan",1
"Xie, Zhen-Xing",1
"Tang, Weifeng",1
"Yangzhong, Xiaoting",1
"Zhang, Xifeng",1
"Zu, Anju",1
"Hou, Yunjiao",1
"Li, Lin",1
"Sun, Shibo",1
"Liu, Huanlong",1
"Pan, Zhenhua",1
"Ma, Xindi",1
"Cui, Junru",1
"Gao, Juan",1
"Miao, Qingfeng",1
