Author,Citations
"Li, Jiankang",0
"Gong, Huankai",0
"Chen, Meiling",0
"Li, Quan",24
"Liu, Shengxing",0
"Luo, Shanjun",0
"Dong, Huanxiang",0
"Xu, Yingke",0
"Duan, Huanling",0
"Huang, Ling",0
"Lv, Chuanzhu",0
"Zhu, Jiangfeng",0
"Dong, Xiaoping",0
"Zhu, Jingfa",0
"Lin, Xinyu",0
"Yan, Cairong",0
"Yang, Shaodong",0
"Xu, Zhenwei",0
"Qian, Tiantian",0
"Qi, Boyang",23
"Fei, Yuxin",0
"Li, Jun",8
"Luo, Liqing",47
"Lv, Bingjie",0
"Song, Yutong",0
"Sheng, Shurui",0
"Xiao, Wenhan",0
"Huang, Xiao",145
"Wang, Xiaozhi",210
"Li, Guoxun",3
"Jiang, Xiaohan",3
"Liang, Xiaoyu",3
"Hou, Yue",19
"Zang, Jingnan",3
"Zhu, Benzhi",3
"Jia, Congcong",3
"Niu, Kunwei",3
"Liu, Xia",18
"Xu, Xiaoli",3
"Jiang, Rui",3
"Wang, Bing",14
"Tsikis, Savas T.",0
"Hirsch, Thomas I.",0
"Fligor, Scott C.",0
"Quigley, Mikayla",0
"Puder, Mark",0
"Morrow, Gael B.",180
"Mutch, Nicola J.",180
"Ta, Huy Q.",1
"Teman, Nicholas R.",1
"Kron, Irving L.",1
"Roeser, Mark E.",1
"Laubach, Victor E.",1
"Wang, Ziyi",1
"Wang, Xuesong",1
"Guo, Zhe",1
"Liao, Haiyan",1
"Chai, Yan",1
"Wang, Ziwen",1
"Wang, Zhong",1
"Takizawa, Satoshi",1
"Lee, Yongchan",1
"Jacob, Asha",1
"Aziz, Monowar",93
"Wang, Ping",147
"Tiboldi, Akos",0
"Hunyadi-Gulyas, Eva",0
"Wohlrab, Peter",0
"Schmid, Johannes A.",0
"Markstaller, Klaus",0
"Klein, Klaus Ulrich",0
"Tretter, Verena",0
"Wu, Yanli",0
"Li, Mei",0
"Bai, Jijia",7
"Ma, Xigang",9
"You, Ting",0
"Zhang, Bihong",0
"Guo, Jing",0
"Liu, Qiao-Zhou",0
"Zhu, Fang-Juan",0
"Li, Min",11
"Li, Jiao",0
"Guo, Li",0
"Sun, Qian-Yun",0
"Yang, Qing-Xiong",0
"Sauer, Agnes",3
"Seeliger, Benjamin",3
"Jandl, Katharina",19
"Erfinanda, Lasti",75
"Wilhelm, Jochen",3
"Alexopoulos, Ioannis",3
"Baal, Nelli",3
"Birnhuber, Anna",3
"David, Sascha",71
"Welte, Tobias",3
"Barreto, Guillermo",835
"Gaertner, Ulrich",3
"Kwapiszewska, Grazyna",3
"Seeger, Werner",32
"Kuebler, Wolfgang M.",217
"Schaefer, Liliana",3
"Wygrecka, Malgorzata",3
"Chiaretti, Sara",13
"Burton, Mark",2
"Hassel, Penny",2
"Radenkovic, Filip",2
"Devikashri, Nilam",2
"Sultana, Annette J.",13
"Temple, Fergal T.",2
"Dean, Melinda M.",13
"Tung, John-Paul",13
"Liu, Zixuan",0
"Chen, Mingming",9
"Sun, Yini",0
"Li, Xu",82
"Cao, Liu",0
"Ma, Xiaochun",125
"Nasrullah, Adeel",2
"Virk, Shiza",2
"Shah, Aaisha",2
"Jacobs, Max",2
"Hamza, Amina",2
"Sheikh, Abu Baker",2
"Javed, Anam",2
"Butt, Muhammad Ali",2
"Sangli, Swathi",2
"Yang, Qi",0
"Luo, Yalan",0
"Lan, Bowen",0
"Dong, Xuanchi",0
"Wang, Zhengjian",0
"Ge, Peng",0
"Zhang, Guixin",0
"Chen, Hailong",66
"Zheng, Dongdong",12
"Liu, Jia",12
"Piao, Hulin",12
"Zhu, Zhicheng",12
"Wei, Ran",12
"Liu, Kexiang",12
"Guo, Wei",5
"Zhang, Yi",115
"Yang, Juan",0
"Liu, Ping",16
"Zhang, Ren-jun",0
"Li, Ji-da",0
"Bi, Yu-hai",0
"Kubra, Khadeja-Tul",20
"Mu, Qinghua",1
"Zhang, Chengxia",1
"Li, Rong",1
"Guo, Zhongqiu",1
"Li, Yuhua",0
"Cui, Shengyu",0
"Wu, Bing",20
"Gao, Jixian",0
"Li, Ming",0
"Zhang, Furong",0
"Xia, Hao",0
"Ye, Lifang",2
"Song, Jieqiong",31
"Zheng, Yijun",2
"Zhong, Ming",112
"Liu, Jun",2
"Zhu, Duming",31
"Hu, Shuling",246
"Tong, Kun",0
"Chen, Zhe",0
"Wen, Zhengde",0
"Han, Xiuxia",1
"Millar, Michelle Warren",36
"Fazal, Fabeha",229
"Rahman, Arshad",194
"Xue, Yao",4
"Zhang, Yunqian",9
"Chen, Li",89
"Wang, Yan",23
"Lv, Zhou",4
"Yang, Li-Qiao",4
"Li, Siyuan",9
"Hao, Xiuling",2
"Wei, Huiqiang",2
"Yang, Rui",2
"Zhang, Xiaojuan",2
"Youn, Ji Youn",0
"Wang, Jian",0
"Li, Qian",0
"Huang, Kai",81
"Cai, Hua",72
"Zhang, Na",13
"Tang, Sihui",8
"Zhang, Jinjin",1
"Pei, Biwei",1
"Pang, Tingting",1
"Sun, Gengyun",36
"Wang, Hongbo",0
"Jin, Jianbo",0
"Hu, Jingbo",25
"Yang, Chunlin",0
"Gonzalez-Rodriguez, Paloma",5
"Herrero, Raquel",42
"Sanchez, Gema",0
"Angel Lorente, Jose",20
"Huang, Huang",6
"Zhu, Jing",6
"Gu, Lili",6
"Hu, Jiang",6
"Feng, Xiujing",6
"Huang, Weiliang",6
"Wang, Sheng",6
"Yang, Yang",154
"Cui, Ping",6
"Lin, Shao-Hsuan",6
"Suen, Andrew",6
"Shimada, Briana K.",6
"Williams, Brittney",6
"Kane, Maureen A.",6
"Ke, Yunbo",158
"Zhang, Chen-Ou",32
"Chao, Wei",6
"Zou, Lin",6
"Jiang, Zeyu",7
"Tan, Jinyi",1
"Yuan, Yan",7
"Shen, Jiang",7
"Chen, Yan",1
"Keskinidou, Chrysi",22
"Lotsios, Nikolaos S.",1
"Vassiliou, Alice G.",121
"Dimopoulou, Ioanna",93
"Kotanidou, Anastasia",139
"Orfanos, Stylianos E.",309
"Kim, Junghyun",42
"Baalachandran, Ramasubramanian",6
"Karki, Pratap",154
"Ramasubramanian, Baalachandran",6
"Promnares, Kamoltip",10
"Tanaka, Kenichi A.",6
"Shen, Jia",3
"Ma, Xiaojun",3
"Wang, Xiaoyu",2
"Lin, Feixue",2
"Guo, Lisha",2
"Morsing, Sofia K. H.",1
"van der Laan, Eveline Zeeuw",1
"van Stalborch, Anne-Marieke D.",13
"van Buul, Jaap D.",14
"Kapur, Rick",15
"Vlaar, Alexander P.",14
"Zhu, Xiandong",1
"Duan, Feixiang",1
"Wang, Xiaowu",1
"Wang, Yongqiang",1
"Chen, Jiawei",1
"Zhang, Lanyu",1
"Wu, Minmin",1
"Pan, Zhuo",1
"Chen, Bicheng",75
"Zhang, Lei",44
"Li, Bin",2
"Zhang, Degang",2
"Yu, Qin",2
"Saini, Yogesh",10
"Kousoulas, Konstantin G.",10
